user_id,director1_rate,director2_rate,director3_rate,director4_rate,director5_rate,director6_rate,director7_rate,director8_rate,director9_rate,director10_rate,director1_norm_rate,director2_norm_rate,director3_norm_rate,director4_norm_rate,director5_norm_rate,director6_norm_rate,director7_norm_rate,director8_norm_rate,director9_norm_rate,director10_norm_rate
28,912,195,1626,438,1450,1682,1366,1745,1032,1871,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748
29,1516,1793,1306,1790,400,540,431,358,1280,898,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.5648003424922023,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264
30,1450,1124,1058,724,798,828,1152,1754,1210,458,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.1729810373465264
31,518,1044,817,1539,234,1748,801,1854,438,1661,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264,-0.2188382677991459,-0.2188382677991459
32,1435,1731,541,355,1514,103,973,728,1445,135,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.5648003424922023,0.1729810373465264
33,92,1354,853,518,1334,1683,1752,664,323,1585,0.1729810373465264,0.1729810373465264,0.1729810373465264,-1.0024768780904942,-1.0024768780904942,-1.0024768780904942,-1.0024768780904942,-1.0024768780904942,-1.0024768780904942,-1.0024768780904942
34,609,355,619,460,348,1153,885,591,990,1666,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748,0.9566196476378748
35,471,189,1731,896,664,460,348,351,876,1270,0.9566196476378748,0.9566196476378748,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264,0.1729810373465264
36,753,1617,23,620,1159,592,1714,392,1505,1601,0.9566196476378748,0.9566196476378748,0.1729810373465264,-0.2188382677991459,-0.2188382677991459,-0.6106575729448218,-1.0024768780904942,-1.0024768780904942,-1.0024768780904942,-1.0024768780904942
37,609,739,859,940,1814,725,1534,1727,1348,1115,-1.0024768780904942,-1.7861154883818424,-1.7861154883818424,-2.177934793527515,-2.177934793527515,-2.177934793527515,-2.177934793527515,-2.177934793527515,-2.177934793527515,-2.177934793527515
