user_id,country1_count,country2_count,country3_count,country4_count,country5_count,country6_count,country7_count,country8_count,country9_count,country10_count,country1_norm_count,country2_norm_count,country3_norm_count,country4_norm_count,country5_norm_count,country6_norm_count,country7_norm_count,country8_norm_count,country9_norm_count,country10_norm_count
22,17,9,42,40,29,41,7,1,24,10,0.7532555828510528,0.5600113784911994,0.3883763965807464,0.3666557096072461,0.3666557096072461,0.3456855240066748,0.2914558185968361,0.2148397232048564,0.2039290918936142,0.2039290918936142
23,17,9,42,29,24,40,41,20,10,7,0.8111308944309275,0.626212384383772,0.5860353701078314,0.4936169269326809,0.4460345060981796,0.4245847734333202,0.4061729321632253,0.3159405341685586,0.3077191383133359,0.3060100767035412
24,17,9,42,40,29,41,24,14,10,1,0.8321148061381161,0.6061780440714759,0.5406006415013368,0.4870195915359472,0.4840236829715011,0.4592802041221692,0.4085261693953892,0.382805793454139,0.3600372196461342,0.3554284345416743
25,17,9,40,42,29,14,24,41,7,10,0.8125642218210192,0.5449936535368928,0.4813992074422347,0.4196886529631719,0.4085261693953892,0.382805793454139,0.3749832611781527,0.3622813156029087,0.3351464226530578,0.3143376282744478
26,17,9,42,40,29,41,24,7,30,10,0.7193376221330647,0.5904752128912213,0.3980036053394731,0.3739712382244932,0.3365118561898934,0.2835128642261214,0.2683150523407873,0.2510851942836842,0.2182807875330735,0.1961065596176279
27,17,9,24,40,41,29,42,10,14,7,0.7564404158216973,0.5021703885673686,0.4634095890047556,0.4566305778554489,0.4454519666656701,0.4045799210020772,0.4045799210020772,0.3518604948196201,0.3025225058817098,0.2814483039392413
28,17,42,9,29,41,24,40,6,10,14,0.7769510141781615,0.5795924834646452,0.5681585914371726,0.5044079983721255,0.5029205782685361,0.4550142861772984,0.4319219173056871,0.3506489153532418,0.3456855240066748,0.3405235450639468
29,17,9,41,42,14,29,40,24,1,7,0.733740811508047,0.5122957588566637,0.5073323675100967,0.4511622907210744,0.3708866547195039,0.365575935397036,0.3405235450639468,0.2750486982802127,0.2457080718727953,0.2311947828933231
30,17,9,42,24,41,29,40,10,7,14,0.8072996955361371,0.6408816701469793,0.528302553110668,0.5180768271755317,0.4911822836632038,0.4899475157224822,0.4750595053428409,0.4218097790591802,0.4013336550646657,0.3856211545625785
31,17,9,41,40,42,29,24,14,10,7,0.7906844939201831,0.5791789181582451,0.532830465592527,0.4940182717823397,0.4712918722728427,0.4045799210020772,0.392841626396745,0.3901810730634869,0.3481910836094214,0.3378629917306885
