user_id,director1_count,director2_count,director3_count,director4_count,director5_count,director6_count,director7_count,director8_count,director9_count,director10_count,director1_norm_count,director2_norm_count,director3_norm_count,director4_norm_count,director5_norm_count,director6_norm_count,director7_norm_count,director8_norm_count,director9_norm_count,director10_norm_count
12,289,592,69,260,467,134,582,207,175,560,0.3465336892145843,0.1492439365274122,0.1492439365274122,0.1492439365274122,0.1492439365274122,0.1265583964973288,0.1265583964973288,0.1265583964973288,0.1265583964973288,0.1265583964973288
13,289,639,346,556,448,194,447,77,82,609,0.3784905180736093,0.3709348836377228,0.3377441632236085,0.2758023330247408,0.2634953556231368,0.2634953556231368,0.250442056895064,0.2365460428559566,0.2216909471103107,0.2216909471103107
14,346,126,639,168,289,448,575,311,278,447,0.3709348836377228,0.3631044393532853,0.3377441632236085,0.3190094402256551,0.2984878730548242,0.2758023330247408,0.2758023330247408,0.2634953556231368,0.250442056895064,0.2365460428559566
15,591,346,289,512,82,194,447,620,309,434,0.3857899793833687,0.3709348836377228,0.3465336892145843,0.3377441632236085,0.2984878730548242,0.2984878730548242,0.2984878730548242,0.2634953556231368,0.2634953556231368,0.2634953556231368
16,289,556,346,635,575,194,319,570,146,69,0.3089930534388552,0.2984878730548242,0.2984878730548242,0.2216909471103107,0.2216909471103107,0.2057345012031795,0.2057345012031795,0.2057345012031795,0.1885002266961964,0.1885002266961964
17,441,317,504,153,592,346,126,69,77,641,0.399685993422476,0.2984878730548242,0.2634953556231368,0.250442056895064,0.2216909471103107,0.2057345012031795,0.2057345012031795,0.2057345012031795,0.1885002266961964,0.1697655036982429
18,245,126,484,639,216,567,289,577,271,343,0.4250462695521529,0.3857899793833687,0.3857899793833687,0.3709348836377228,0.3631044393532853,0.3549784377305916,0.3549784377305916,0.3549784377305916,0.3549784377305916,0.3465336892145843
19,158,348,460,346,575,220,11,42,297,292,0.250442056895064,0.250442056895064,0.2216909471103107,0.2057345012031795,0.1885002266961964,0.1885002266961964,0.1697655036982429,0.1697655036982429,0.1697655036982429,0.1492439365274122
20,349,45,289,192,592,582,641,194,77,76,0.2984878730548242,0.2216909471103107,0.2057345012031795,0.2057345012031795,0.1885002266961964,0.1885002266961964,0.1885002266961964,0.1697655036982429,0.1697655036982429,0.1697655036982429
21,512,289,556,321,346,635,77,146,592,194,0.3285805042330045,0.2874437349748375,0.2874437349748375,0.2216909471103107,0.2057345012031795,0.1885002266961964,0.1885002266961964,0.1885002266961964,0.1885002266961964,0.1697655036982429
22,575,289,346,45,609,69,134,77,641,556,0.3190094402256551,0.3089930534388552,0.3089930534388552,0.2874437349748375,0.2634953556231368,0.250442056895064,0.2365460428559566,0.2365460428559566,0.2365460428559566,0.2216909471103107
23,259,34,296,579,356,168,126,620,547,449,0.5489299299498882,0.5455390962948117,0.4824550168010637,0.4778244407604167,0.442280544059136,0.4250462695521529,0.4189806997974829,0.4189806997974829,0.4127392921505489,0.4063115465541995
24,289,512,635,346,82,632,556,194,488,548,0.3928500704771336,0.3709348836377228,0.3631044393532853,0.3631044393532853,0.3377441632236085,0.3377441632236085,0.3285805042330045,0.3190094402256551,0.3190094402256551,0.3190094402256551
25,349,309,289,448,632,486,346,45,143,470,0.3190094402256551,0.3089930534388552,0.2874437349748375,0.2758023330247408,0.2634953556231368,0.250442056895064,0.2216909471103107,0.2216909471103107,0.2057345012031795,0.2057345012031795
26,289,448,45,260,69,556,134,632,321,307,0.2634953556231368,0.2216909471103107,0.2057345012031795,0.2057345012031795,0.1885002266961964,0.1697655036982429,0.1697655036982429,0.1697655036982429,0.1697655036982429,0.1697655036982429
27,484,448,486,632,143,267,396,163,45,252,0.3631044393532853,0.3089930534388552,0.2874437349748375,0.2758023330247408,0.2634953556231368,0.2634953556231368,0.2634953556231368,0.250442056895064,0.2216909471103107,0.2216909471103107
28,110,221,579,296,289,271,298,168,222,248,0.6555267426534395,0.6555267426534395,0.4309456382278558,0.4250462695521529,0.399685993422476,0.399685993422476,0.3928500704771336,0.3709348836377228,0.3377441632236085,0.3377441632236085
29,245,289,575,271,194,126,317,115,346,158,0.3784905180736093,0.3285805042330045,0.3089930534388552,0.3089930534388552,0.2984878730548242,0.2758023330247408,0.2758023330247408,0.2634953556231368,0.2365460428559566,0.2365460428559566
30,620,639,484,289,591,448,395,82,346,486,0.4127392921505489,0.3857899793833687,0.3377441632236085,0.3285805042330045,0.3285805042330045,0.3190094402256551,0.3089930534388552,0.2984878730548242,0.2984878730548242,0.2874437349748375
31,499,632,448,484,267,32,289,126,45,231,0.3709348836377228,0.3377441632236085,0.3285805042330045,0.3285805042330045,0.3285805042330045,0.3285805042330045,0.3190094402256551,0.2874437349748375,0.2758023330247408,0.2758023330247408
32,567,198,153,484,635,252,632,280,117,289,0.5801895747552679,0.538592897553404,0.3784905180736093,0.3709348836377228,0.3465336892145843,0.3465336892145843,0.3377441632236085,0.3377441632236085,0.3190094402256551,0.3089930534388552
33,568,575,69,578,139,289,146,126,134,44,0.1885002266961964,0.1492439365274122,0.1265583964973288,0.1265583964973288,0.1265583964973288,0.1011981203676519,0.1011981203676519,0.0724470105828986,0.0724470105828986,0.0724470105828986
34,448,77,289,126,69,556,575,194,505,346,0.3089930534388552,0.2365460428559566,0.2216909471103107,0.2057345012031795,0.2057345012031795,0.1885002266961964,0.1885002266961964,0.1697655036982429,0.1697655036982429,0.1492439365274122
35,289,346,436,464,321,45,69,639,556,392,0.3190094402256551,0.250442056895064,0.250442056895064,0.250442056895064,0.2216909471103107,0.2057345012031795,0.2057345012031795,0.1885002266961964,0.1697655036982429,0.1265583964973288
36,289,45,346,126,358,194,77,146,609,575,0.3377441632236085,0.2634953556231368,0.2216909471103107,0.2216909471103107,0.2216909471103107,0.2057345012031795,0.2057345012031795,0.2057345012031795,0.2057345012031795,0.2057345012031795
37,278,547,200,165,86,132,158,620,166,65,0.5042223742580036,0.4582369899662673,0.4127392921505489,0.4063115465541995,0.399685993422476,0.399685993422476,0.3928500704771336,0.3928500704771336,0.3857899793833687,0.3857899793833687
39,447,499,574,289,126,198,448,592,504,39,0.3190094402256551,0.2874437349748375,0.2365460428559566,0.2216909471103107,0.2057345012031795,0.1885002266961964,0.1697655036982429,0.1697655036982429,0.1697655036982429,0.1697655036982429
40,289,570,556,69,135,77,560,45,641,505,0.2874437349748375,0.2216909471103107,0.2057345012031795,0.2057345012031795,0.2057345012031795,0.1885002266961964,0.1885002266961964,0.1697655036982429,0.1697655036982429,0.1697655036982429
41,289,632,346,82,448,126,484,567,620,432,0.3465336892145843,0.3377441632236085,0.3285805042330045,0.2984878730548242,0.2984878730548242,0.2984878730548242,0.2984878730548242,0.2874437349748375,0.2874437349748375,0.2874437349748375
42,632,126,45,592,575,103,143,538,600,619,0.3190094402256551,0.2216909471103107,0.2057345012031795,0.1885002266961964,0.1885002266961964,0.1885002266961964,0.1885002266961964,0.1697655036982429,0.1697655036982429,0.1492439365274122
43,442,141,308,574,356,499,417,153,484,32,0.3709348836377228,0.3190094402256551,0.3089930534388552,0.2874437349748375,0.2758023330247408,0.2634953556231368,0.2634953556231368,0.250442056895064,0.2365460428559566,0.2365460428559566
44,194,512,346,289,204,447,639,635,578,581,0.4189806997974829,0.4127392921505489,0.3631044393532853,0.3549784377305916,0.3190094402256551,0.3089930534388552,0.2984878730548242,0.2874437349748375,0.2758023330247408,0.2634953556231368
45,289,591,346,194,447,575,556,434,639,126,0.4063115465541995,0.399685993422476,0.3549784377305916,0.3549784377305916,0.2874437349748375,0.2758023330247408,0.2365460428559566,0.2365460428559566,0.2216909471103107,0.2216909471103107
46,289,556,259,568,82,346,575,570,505,212,0.2874437349748375,0.250442056895064,0.2216909471103107,0.2057345012031795,0.1885002266961964,0.1697655036982429,0.1697655036982429,0.1697655036982429,0.1697655036982429,0.1697655036982429
