user_id,lang1_count,lang2_count,lang3_count,lang4_count,lang5_count,lang6_count,lang7_count,lang8_count,lang9_count,lang10_count,lang1_norm_count,lang2_norm_count,lang3_norm_count,lang4_norm_count,lang5_norm_count,lang6_norm_count,lang7_norm_count,lang8_norm_count,lang9_norm_count,lang10_norm_count
700,13,9,46,38,5,4,16,1,42,47,0.871888318965433,0.6098396660199304,0.5387325266881405,0.5247065181778352,0.4964262082366725,0.4895278626776349,0.4884259224232077,0.4839009183550928,0.4703683903307638,0.4663596483376875
701,13,9,46,4,42,16,47,44,38,1,0.73640952361246,0.4103885298712887,0.3687597088689381,0.3396934596662253,0.3202056083882972,0.2610557776673281,0.2610557776673281,0.207993000124812,0.1822158491407513,0.1822158491407513
702,13,9,4,47,38,46,42,16,5,44,0.8104981251250778,0.6488845097144468,0.5359287657252808,0.5278161849996607,0.5177818748555972,0.5076365043939353,0.4729597234994978,0.4541100070004913,0.412662812648451,0.3753394632592063
703,13,9,38,46,42,47,16,5,4,31,0.7343211714226869,0.4767326066392195,0.2858324165912593,0.2461170068756794,0.2461170068756794,0.2406344072853893,0.207993000124812,0.1720284053630616,0.1607667087441261,0.1339043986121942
704,13,42,9,46,5,16,4,44,38,47,0.7974005975423253,0.4385202997941205,0.391588058827191,0.3351443791799459,0.2699682092135054,0.2348553102567439,0.2287458041304111,0.2287458041304111,0.2222658045378533,0.1822158491407513
705,13,46,9,42,5,38,44,47,1,16,0.800343330308999,0.5498903988618185,0.3704430075630889,0.3704430075630889,0.3670494762555346,0.3580620624137614,0.3351443791799459,0.302834405643029,0.2656048581536075,0.2563044506533691
706,13,46,9,42,38,44,4,5,47,1,0.7830354765051587,0.4571211147945973,0.4044816536786047,0.3995092567658017,0.3418973987370062,0.2894560604914336,0.2610557776673281,0.2610557776673281,0.2563044506533691,0.2513320537405661
707,13,46,42,9,5,38,44,32,47,16,0.7554064399513468,0.5553574160833966,0.5312097163072151,0.4461888090618807,0.4181454122387411,0.3859611145046489,0.3174994573145732,0.2996435042691232,0.2656048581536075,0.2610557776673281
708,13,9,46,42,16,5,44,31,39,15,0.688625452875541,0.2656048581536075,0.2000718021862013,0.1339043986121942,0.1174276551283719,0.1174276551283719,0.0433390536157541,0.0433390536157541,0.0,0.0
709,13,42,9,46,16,4,5,44,47,20,0.6942611251822459,0.3327951141071876,0.3118725129920311,0.2963544060504712,0.2153674589788157,0.1720284053630616,0.1720284053630616,0.1607667087441261,0.0979398038504438,0.0979398038504438
710,13,42,9,46,47,4,38,5,16,44,0.78310582021154,0.3769230071556467,0.3670494762555346,0.3279357656004687,0.2929608747429167,0.2894560604914336,0.2699682092135054,0.2610557776673281,0.2287458041304111,0.2000718021862013
711,13,42,46,9,16,5,44,20,1,26,0.7032381216702768,0.2513320537405661,0.2000718021862013,0.1822158491407513,0.1607667087441261,0.1607667087441261,0.1174276551283719,0.0979398038504438,0.0740886015126178,0.0740886015126178
