movie_id,country_1_id,country_2_id,country_3_id
181,17,,
182,17,,
183,41,,
184,9,17.0,
185,17,,
186,17,,
187,32,17.0,
188,17,,
189,17,,
190,21,,
191,41,,
192,17,,
193,17,,
194,9,17.0,
195,41,,
196,17,,
197,17,,
198,17,,
199,17,,
200,9,17.0,
201,17,,
202,17,,
203,9,17.0,
204,7,17.0,
205,42,,
206,9,17.0,
207,17,,
208,17,,
209,17,9.0,
210,17,,
211,17,,
212,19,,
213,17,,
214,42,24.0,
215,17,,
216,41,,
217,17,,
218,29,,
219,17,,
220,17,,
221,9,17.0,
222,17,,
223,21,17.0,
224,9,17.0,
225,17,,
226,17,,
227,17,,
228,17,9.0,
229,17,,
230,17,,
231,42,29.0,
232,17,,
233,17,14.0,9.0
234,17,,
235,17,,
236,17,,
237,8,17.0,
238,17,,
239,9,17.0,
240,9,17.0,
241,17,,
242,17,,
243,7,17.0,
244,17,,
245,17,,
246,9,,
247,17,,
248,17,,
249,17,,
250,7,88.0,17.0
251,17,,
252,17,,
253,9,17.0,
254,17,,
255,17,,
256,9,17.0,
257,17,,
258,9,17.0,
259,17,,
260,6,10.0,17.0
261,9,17.0,
262,17,,
263,17,1.0,
264,17,,
265,17,,
266,9,17.0,
267,17,,
268,17,,
269,17,,
270,17,,
271,32,17.0,
272,17,,
273,29,,
274,17,,
275,17,,
276,17,,
277,17,,
278,17,,
279,17,,
280,17,,
281,17,,
282,24,17.0,
283,40,17.0,
284,17,,
285,17,,
286,17,,
287,17,,
288,17,,
289,24,17.0,
290,41,,
291,17,,
292,9,17.0,
293,41,,
294,9,17.0,
295,17,,
296,17,,
297,21,10.0,9.0
298,17,,
299,17,,
300,17,,
301,17,,
302,17,,
303,42,,
304,17,,
305,17,,
306,17,,
307,9,17.0,
308,17,,
309,29,,
310,40,30.0,9.0
311,17,,
312,17,,
313,17,,
314,9,17.0,
315,17,,
316,32,17.0,
317,9,17.0,
318,17,,
319,17,,
320,17,,
321,17,,
322,9,17.0,
323,9,,
324,42,24.0,
325,42,29.0,
326,17,,
327,9,17.0,
328,19,17.0,
329,17,,
330,9,17.0,
331,42,9.0,
332,87,29.0,9.0
333,17,,
334,17,42.0,
335,5,,
336,17,,
337,17,,
338,29,17.0,
339,17,7.0,
340,17,,
341,17,,
342,40,30.0,17.0
343,17,,
344,17,,
345,17,,
346,9,17.0,
347,17,,
348,17,,
349,17,,
350,17,,
351,24,,
352,9,17.0,
353,42,17.0,
354,40,110.0,17.0
355,17,,
356,17,,
357,17,,
358,17,,
359,17,,
360,17,,
361,9,17.0,
362,9,17.0,
363,9,17.0,
364,24,17.0,
365,17,,
366,17,,
367,41,,
368,17,,
369,17,,
370,17,,
371,14,,
372,17,,
373,17,,
374,17,,
375,41,,
376,17,,
377,20,,
378,9,,
379,17,,
380,42,70.0,9.0
381,17,,
382,28,40.0,9.0
383,17,,
384,20,17.0,
385,17,29.0,
386,17,,
387,17,,
388,17,,
389,42,9.0,
390,17,,
391,17,,
392,17,7.0,
393,17,,
394,17,,
395,36,42.0,
396,41,,
397,17,,
398,17,,
399,17,,
400,28,42.0,24.0
401,17,,
402,7,,
403,17,,
404,17,,
405,17,,
406,17,,
407,17,,
408,17,,
409,17,,
410,9,42.0,
411,17,,
412,17,,
413,17,,
414,17,,
415,32,17.0,
416,17,,
417,17,,
418,29,17.0,
419,17,,
420,9,17.0,
421,7,40.0,32.0
422,17,,
423,19,,
424,17,,
425,7,17.0,
426,14,42.0,
427,17,,
428,17,,
429,17,,
430,17,,
431,17,,
432,9,17.0,
433,17,,
434,4,10.0,
435,17,,
436,17,,
437,7,6.0,17.0
438,17,,
439,9,,
440,41,,
441,17,,
442,17,,
443,17,,
444,17,,
445,17,,
446,17,,
447,17,,
448,17,,
