movie_id,actor_1_id,actor_2_id,actor_3_id,actor_4_id,actor_5_id
73,2681.0,24.0,4400.0,3573.0,3327.0
74,3546.0,3422.0,4372.0,3483.0,4015.0
75,325.0,3728.0,488.0,3818.0,177.0
76,547.0,1315.0,236.0,4466.0,4025.0
77,687.0,309.0,1394.0,4607.0,4604.0
78,4232.0,4598.0,2802.0,4115.0,4444.0
79,2980.0,2685.0,2347.0,3803.0,3543.0
80,4802.0,3477.0,4321.0,3939.0,4619.0
81,249.0,455.0,4772.0,3737.0,4862.0
82,59.0,4249.0,3896.0,3860.0,4404.0
83,620.0,4559.0,3395.0,3994.0,3853.0
84,4418.0,3953.0,3864.0,4811.0,4396.0
85,3571.0,4594.0,1093.0,4568.0,4271.0
86,699.0,602.0,1966.0,4586.0,2691.0
87,3665.0,4720.0,3497.0,4230.0,3955.0
88,3449.0,4142.0,4786.0,4672.0,2133.0
89,487.0,4187.0,3170.0,461.0,772.0
90,59.0,4302.0,4390.0,3648.0,4196.0
91,4492.0,4424.0,3629.0,2864.0,3712.0
92,4734.0,340.0,4003.0,4669.0,4391.0
93,71.0,335.0,774.0,4854.0,263.0
94,3755.0,4281.0,3591.0,3465.0,3742.0
95,3964.0,4472.0,3880.0,4524.0,4202.0
96,4091.0,1214.0,4221.0,1643.0,2140.0
97,171.0,239.0,1698.0,388.0,4059.0
98,4588.0,124.0,3747.0,368.0,2149.0
99,404.0,2726.0,2355.0,2540.0,4414.0
100,404.0,676.0,3362.0,175.0,3832.0
101,3348.0,4307.0,3610.0,3989.0,3131.0
102,128.0,4262.0,2359.0,3779.0,2432.0
103,2928.0,488.0,4407.0,2232.0,3826.0
104,264.0,345.0,4251.0,724.0,3210.0
105,4857.0,1100.0,4542.0,936.0,3756.0
106,765.0,317.0,403.0,60.0,14.0
107,3447.0,3828.0,1902.0,3398.0,4308.0
108,153.0,663.0,4779.0,4710.0,3743.0
109,3418.0,1028.0,761.0,4008.0,3493.0
110,687.0,438.0,3496.0,370.0,2114.0
111,588.0,3685.0,364.0,2889.0,4074.0
112,2539.0,605.0,4084.0,1966.0,3379.0
113,493.0,4264.0,758.0,4522.0,4589.0
114,3468.0,4599.0,1660.0,4801.0,499.0
115,4863.0,325.0,71.0,3526.0,3669.0
116,2517.0,4351.0,3189.0,4577.0,2142.0
117,2699.0,2867.0,3513.0,4473.0,1852.0
118,4582.0,481.0,3466.0,3187.0,4592.0
119,656.0,2499.0,3451.0,4054.0,3487.0
120,3573.0,4561.0,3900.0,3826.0,3457.0
121,171.0,21.0,4340.0,1778.0,3378.0
122,3634.0,469.0,4253.0,199.0,1360.0
123,3169.0,4532.0,4768.0,4412.0,4273.0
124,4347.0,494.0,3815.0,1604.0,3535.0
125,3460.0,3773.0,3713.0,4633.0,4367.0
126,564.0,4488.0,1060.0,790.0,474.0
127,4734.0,124.0,151.0,1210.0,4645.0
128,4024.0,136.0,3125.0,4148.0,4735.0
129,263.0,450.0,4242.0,100.0,248.0
130,3616.0,2791.0,4216.0,4564.0,336.0
131,4183.0,3887.0,1.0,3981.0,3330.0
132,4005.0,3068.0,3674.0,3710.0,3446.0
133,66.0,1665.0,2980.0,2625.0,74.0
134,263.0,772.0,620.0,218.0,61.0
135,58.0,3802.0,2140.0,286.0,4745.0
136,595.0,557.0,324.0,1109.0,3040.0
137,3356.0,4125.0,165.0,4675.0,4647.0
138,581.0,4510.0,4701.0,4209.0,282.0
139,531.0,659.0,576.0,3799.0,404.0
140,1074.0,4101.0,3819.0,4310.0,1975.0
141,3687.0,1635.0,4631.0,4052.0,2360.0
142,2300.0,1534.0,4738.0,4012.0,4230.0
143,487.0,4187.0,3170.0,461.0,772.0
144,74.0,3325.0,4158.0,704.0,4492.0
145,4079.0,3762.0,3515.0,3972.0,4814.0
146,106.0,3652.0,3373.0,4312.0,4176.0
147,4734.0,4832.0,3705.0,3347.0,2149.0
148,3910.0,797.0,1078.0,4198.0,3624.0
149,2845.0,336.0,24.0,315.0,2865.0
150,784.0,2681.0,4167.0,3608.0,4319.0
151,610.0,4768.0,4553.0,1714.0,3450.0
152,237.0,3430.0,155.0,4129.0,3838.0
153,630.0,1516.0,739.0,3514.0,4829.0
154,724.0,1015.0,3414.0,3494.0,3472.0
155,310.0,3998.0,476.0,472.0,3212.0
156,1665.0,113.0,3611.0,661.0,2498.0
157,367.0,3973.0,3560.0,3930.0,1707.0
158,3746.0,4289.0,452.0,4638.0,267.0
159,61.0,2928.0,4156.0,770.0,3367.0
160,3834.0,3901.0,3929.0,4558.0,4789.0
161,487.0,4045.0,3956.0,4717.0,3468.0
162,4773.0,3707.0,3938.0,3835.0,4867.0
163,1707.0,2408.0,3520.0,3824.0,4300.0
164,130.0,79.0,4830.0,4375.0,4747.0
165,4796.0,184.0,3888.0,4382.0,4109.0
166,4365.0,3660.0,3719.0,3794.0,4226.0
167,2662.0,2492.0,3757.0,4455.0,3289.0
168,171.0,2006.0,4491.0,753.0,4536.0
169,165.0,2982.0,2320.0,703.0,60.0
170,715.0,3435.0,476.0,2540.0,3681.0
171,890.0,126.0,604.0,532.0,3671.0
172,1862.0,404.0,3278.0,3052.0,3812.0
173,4071.0,3894.0,3925.0,3313.0,2846.0
174,4675.0,3705.0,747.0,4068.0,4665.0
175,641.0,1585.0,1358.0,976.0,84.0
176,440.0,1526.0,1974.0,4563.0,2480.0
177,777.0,1098.0,205.0,3502.0,359.0
178,2314.0,3628.0,3631.0,3771.0,4808.0
179,58.0,292.0,3891.0,3797.0,4641.0
180,1276.0,3461.0,4605.0,3827.0,3966.0
181,543.0,295.0,2685.0,3883.0,3874.0
182,130.0,3344.0,965.0,4233.0,3335.0
183,363.0,18.0,2382.0,3389.0,925.0
184,4505.0,3512.0,3559.0,3891.0,2924.0
185,777.0,2854.0,1098.0,3201.0,225.0
186,126.0,488.0,1419.0,4807.0,3575.0
187,113.0,1665.0,3611.0,3612.0,1645.0
188,58.0,2498.0,441.0,4705.0,359.0
189,2616.0,2661.0,4342.0,3722.0,3352.0
190,3286.0,4345.0,4742.0,3309.0,4162.0
191,4075.0,2646.0,3242.0,4548.0,1085.0
192,4132.0,2381.0,4052.0,1756.0,3736.0
193,325.0,677.0,511.0,4714.0,17.0
194,4564.0,77.0,79.0,3303.0,1210.0
195,4859.0,4415.0,4485.0,3027.0,4708.0
196,4155.0,624.0,158.0,4439.0,3318.0
197,4263.0,865.0,4815.0,3942.0,151.0
198,794.0,4613.0,4610.0,3511.0,4581.0
199,1276.0,213.0,333.0,3471.0,4639.0
200,245.0,573.0,1775.0,2677.0,3905.0
201,1276.0,213.0,3523.0,2503.0,2963.0
