cast_id,user_id,watch_count,normalized_watch_count
151,203,23,0.21146817340199475
151,204,46,0.37381142578857374
151,206,51,0.39823104268710496
151,207,48,0.38387740371852197
151,208,32,0.2883901992372403
151,211,22,0.20118796174185205
151,213,29,0.2653681668449074
151,214,27,0.24870304119438813
151,215,45,0.36861663385501886
151,216,62,0.4445820306578693
151,217,32,0.2883901992372403
151,218,46,0.37381142578857374
151,219,67,0.4630298102663769
151,220,37,0.32246752513959975
151,221,30,0.2732884998536118
151,222,49,0.38875733766924625
151,223,26,0.2399184907523091
151,224,31,0.280957350783421
151,225,49,0.38875733766924625
151,226,14,0.09793949473174057
151,227,32,0.2883901992372403
151,229,57,0.4246079694959638
151,230,22,0.20118796174185205
151,231,50,0.39354063288495056
151,232,27,0.24870304119438813
151,233,68,0.46655612858675954
151,234,62,0.4445820306578693
151,236,34,0.30260303463730076
151,237,92,0.5386566666985192
151,238,23,0.21146817340199475
151,240,43,0.35787937661866653
151,241,72,0.4801680967243366
151,242,30,0.2732884998536118
151,243,29,0.2653681668449074
151,244,26,0.2399184907523091
151,245,34,0.30260303463730076
151,246,36,0.31602584966030967
151,247,20,0.1792138638129619
151,248,26,0.2399184907523091
151,249,19,0.1674286721131668
151,250,37,0.32246752513959975
151,251,38,0.3287418653056786
151,252,37,0.32246752513959975
151,253,33,0.2956011381532101
151,254,27,0.24870304119438813
151,257,48,0.38387740371852197
151,258,34,0.30260303463730076
151,259,32,0.2883901992372403
151,261,41,0.3466425359261287
151,262,19,0.1674286721131668
151,263,27,0.24870304119438813
151,264,26,0.2399184907523091
151,265,62,0.4445820306578693
151,266,26,0.2399184907523091
151,267,33,0.2956011381532101
151,268,28,0.257179297382797
151,269,23,0.21146817340199475
151,270,36,0.31602584966030967
151,271,25,0.23080237057393804
151,272,67,0.4630298102663769
151,274,47,0.37889684551516145
151,276,21,0.19045070450549972
151,277,55,0.41613171330755505
151,279,25,0.23080237057393804
151,280,48,0.38387740371852197
151,281,33,0.2956011381532101
151,282,29,0.2653681668449074
151,283,60,0.4367894672977194
151,284,38,0.3287418653056786
151,285,39,0.3348573442263336
151,286,35,0.3094076681337352
151,287,35,0.3094076681337352
151,288,59,0.4327968389580741
151,289,22,0.20118796174185205
151,290,65,0.4558188713504069
151,292,37,0.32246752513959975
151,293,51,0.39823104268710496
151,295,24,0.22132866555607944
151,296,59,0.4327968389580741
151,297,31,0.280957350783421
151,299,34,0.30260303463730076
151,300,42,0.352326292631838
151,301,33,0.2956011381532101
151,302,28,0.257179297382797
151,303,24,0.22132866555607944
151,304,42,0.352326292631838
151,305,30,0.2732884998536118
151,306,37,0.32246752513959975
151,307,40,0.34082180812802765
151,309,31,0.280957350783421
151,310,48,0.38387740371852197
151,311,54,0.41177937006157916
151,312,35,0.3094076681337352
151,313,45,0.36861663385501886
151,314,53,0.4073471628654759
151,316,55,0.41613171330755505
151,317,31,0.280957350783421
151,319,31,0.280957350783421
151,321,40,0.34082180812802765
151,322,30,0.2732884998536118
151,324,34,0.30260303463730076
151,325,47,0.37889684551516145
151,326,73,0.48345452177347636
151,327,110,0.581394016505217
151,328,60,0.4367894672977194
151,329,19,0.1674286721131668
151,330,22,0.20118796174185205
151,331,46,0.37381142578857374
151,332,22,0.20118796174185205
151,333,24,0.22132866555607944
151,334,73,0.48345452177347636
151,335,46,0.37381142578857374
151,336,68,0.46655612858675954
151,337,36,0.31602584966030967
151,339,40,0.34082180812802765
151,340,43,0.35787937661866653
151,341,37,0.32246752513959975
151,342,35,0.3094076681337352
151,343,82,0.5111783768770807
151,344,39,0.3348573442263336
151,345,41,0.3466425359261287
151,346,47,0.37889684551516145
151,347,86,0.5225474642277043
151,348,23,0.21146817340199475
151,349,28,0.257179297382797
151,351,47,0.37889684551516145
151,353,33,0.2956011381532101
151,354,37,0.32246752513959975
151,355,45,0.36861663385501886
151,357,36,0.31602584966030967
