movie_id,language_id
347,13
348,13
349,13
350,13
351,38
352,13
353,13
354,13
355,13
356,13
357,13
358,13
359,13
360,13
361,13
362,13
363,13
364,13
365,13
366,13
367,9
368,13
369,13
370,13
371,4
372,13
373,13
374,13
375,9
376,13
377,1
378,13
379,13
380,28
381,13
382,13
383,13
384,13
385,13
386,13
387,13
388,13
389,13
390,13
391,13
392,13
393,13
394,13
395,46
396,9
397,13
398,13
399,13
400,13
401,13
402,13
403,13
404,13
405,13
406,13
407,13
408,13
409,13
410,13
411,13
412,13
413,13
414,13
415,13
416,13
417,13
418,13
419,42
420,13
421,13
422,13
423,16
424,13
425,13
426,4
427,13
428,13
429,13
430,13
431,13
432,13
433,13
434,5
435,13
436,13
437,13
438,13
439,13
440,9
441,13
442,13
443,13
444,13
445,13
446,13
447,13
448,13
449,13
450,9
451,13
452,13
453,13
454,13
455,13
456,5
457,13
458,13
459,13
460,13
461,13
462,13
463,13
464,13
465,13
466,13
467,13
468,13
469,13
470,13
471,13
472,24
473,13
474,4
475,13
476,13
477,13
478,1
479,31
480,13
481,13
482,13
483,13
484,13
485,13
486,13
487,13
488,13
489,13
490,13
491,13
492,13
493,9
494,13
495,13
496,13
497,13
498,13
499,13
500,13
501,13
502,13
503,13
504,13
505,13
506,13
507,16
508,13
509,13
510,13
511,13
512,13
513,13
514,13
515,13
516,13
517,9
518,13
519,13
520,13
521,13
522,13
523,13
524,13
525,13
526,13
527,13
528,13
529,13
530,13
531,13
532,13
533,13
534,13
535,13
536,13
537,13
538,13
539,13
540,13
541,13
542,13
543,13
544,13
545,13
546,13
547,13
548,13
549,13
550,13
551,44
552,14
553,13
554,13
555,13
556,13
557,13
558,17
559,13
560,13
561,13
562,13
563,13
564,13
565,9
566,13
567,13
568,13
569,13
570,9
571,29
572,13
573,13
574,13
575,13
576,13
577,13
578,13
579,13
580,13
581,13
582,13
583,13
584,13
585,13
586,13
587,13
588,13
589,13
590,13
591,13
592,13
593,13
594,13
595,13
596,13
597,13
598,13
599,13
600,13
601,13
602,5
603,9
604,32
605,13
606,13
607,13
608,13
609,13
610,13
611,13
612,9
613,13
614,13
615,13
616,29
617,13
618,13
619,13
620,13
621,13
622,13
623,13
624,13
625,13
626,13
627,13
628,13
629,13
630,13
631,13
632,13
633,13
634,13
635,13
636,13
637,13
638,13
639,13
640,13
641,13
642,13
643,13
644,13
645,13
646,13
647,13
648,13
649,16
650,13
651,13
652,38
653,13
654,13
655,46
656,13
657,13
658,28
659,13
660,9
661,46
662,13
663,13
664,13
665,13
666,13
667,13
668,13
669,13
670,13
671,13
672,13
673,13
674,13
675,13
676,13
677,46
678,42
679,13
680,13
681,13
682,44
683,13
684,13
685,13
686,13
687,13
688,13
689,13
690,13
691,13
692,13
693,46
694,13
695,13
696,13
697,13
698,13
699,13
700,13
701,13
702,13
703,13
704,13
705,13
706,13
707,13
708,13
709,13
710,13
711,32
712,13
713,13
714,42
715,13
716,17
717,13
718,13
719,13
720,13
721,13
722,13
723,13
724,42
725,13
726,13
727,13
728,13
729,13
730,9
731,5
732,13
733,13
734,13
735,46
736,13
737,13
738,13
739,13
740,13
741,13
742,31
743,13
744,13
745,13
746,13
747,13
748,13
749,13
750,13
751,13
752,13
753,13
754,13
755,13
756,13
757,13
758,13
759,13
760,13
761,5
762,13
763,16
764,44
765,13
766,13
767,13
768,13
769,13
770,13
771,13
772,13
773,13
774,13
775,13
776,13
777,46
778,13
779,13
780,1
781,13
782,13
783,13
784,13
785,13
786,13
787,13
788,13
789,13
790,13
791,13
792,6
793,13
794,13
795,9
796,9
797,13
798,16
799,38
800,13
801,13
802,13
803,13
804,46
805,13
