movie_id,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western,year,duration,average_rating,director_id,writer_id,composer_id,studio_id,actor_1_id,actor_2_id,actor_3_id,actor_4_id,actor_5_id,language_id,country_1_id,rating_std
35,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,126,2.9,504,34.0,33.0,2,661.0,3729.0,4099.0,3618.0,4681.0,13,17,0.9062027859145204
36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,136,3.3,803,35.0,11.0,30,237.0,1456.0,1437.0,569.0,3339.0,13,17,0.8606052231698552
37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,98,4.5,1899,36.0,34.0,31,4546.0,4655.0,3775.0,4514.0,4215.0,46,42,
38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,103,4.0,1353,37.0,35.0,32,4423.0,1818.0,3346.0,3534.0,4378.0,13,17,0.9633362407414569
39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,141,3.2,1757,6.0,33.0,2,634.0,531.0,706.0,317.0,97.0,13,17,0.9096873079608584
40,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1986,120,4.1,126,38.0,36.0,33,3160.0,2011.0,50.0,410.0,3462.0,13,17,0.7891985897081715
41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,102,3.7,500,39.0,37.0,34,3169.0,4535.0,3290.0,3945.0,4618.0,13,17,0.8664199631345917
42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1976,120,4.1,1642,40.0,38.0,35,17.0,1798.0,3297.0,4103.0,4661.0,13,17,0.6911517561612395
43,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,121,4.1,262,41.0,39.0,36,3260.0,1889.0,368.0,2141.0,3126.0,13,42,0.6812384059377341
44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2008,108,3.8,1900,42.0,40.0,37,557.0,3886.0,3596.0,124.0,359.0,13,29,1.117311738104772
45,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2005,115,3.3,45,43.0,33.0,11,58.0,4177.0,4442.0,292.0,3044.0,13,9,0.9596394114671488
46,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,129,4.2,1554,44.0,41.0,38,4415.0,635.0,2925.0,3396.0,4603.0,9,41,0.7957084682214893
47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,95,3.7,1073,45.0,42.0,39,4250.0,4496.0,4190.0,3448.0,3976.0,13,17,0.9418419094546412
48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1981,85,3.7,504,46.0,43.0,40,308.0,4357.0,4138.0,3539.0,4537.0,13,17,0.8595630538361654
49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1944,107,4.3,133,47.0,44.0,13,3643.0,449.0,4600.0,2474.0,3550.0,13,17,0.724119128850024
50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,121,4.2,207,48.0,45.0,11,370.0,2938.0,2791.0,3682.0,2012.0,13,7,0.6808973352972353
51,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2001,114,4.0,1481,49.0,46.0,41,455.0,4803.0,3576.0,481.0,2783.0,13,17,0.9089099574230258
52,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2013,116,3.2,1901,50.0,21.0,42,71.0,4335.0,3424.0,4086.0,3437.0,13,9,0.803115009993202
53,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2019,103,3.1,876,51.0,2.0,43,3850.0,4179.0,4452.0,3248.0,3116.0,13,17,0.8618455403861938
54,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2024,141,3.8,1562,52.0,47.0,44,657.0,1632.0,4688.0,3522.0,3899.0,13,42,0.9551127979044182
55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1986,110,3.4,470,53.0,48.0,13,656.0,4812.0,20.0,3765.0,2524.0,13,17,0.8203677925223002
56,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2010,131,4.4,135,54.0,49.0,45,4670.0,3328.0,4370.0,3706.0,3872.0,46,40,0.8649518141561932
57,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2024,120,3.9,1274,55.0,50.0,46,770.0,555.0,3636.0,3160.0,4663.0,13,9,0.6499618380576994
58,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,120,4.2,1902,56.0,51.0,47,2215.0,1534.0,3919.0,4487.0,470.0,13,17,0.6287291542971523
59,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1960,125,4.4,133,57.0,52.0,24,1315.0,388.0,3643.0,3753.0,3774.0,13,17,0.5725960844400984
60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,97,2.5,1903,58.0,21.0,19,370.0,461.0,651.0,1637.0,4692.0,13,17,0.8635602313668305
61,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2004,121,3.8,1904,59.0,53.0,6,3656.0,4740.0,4061.0,4637.0,602.0,13,24,0.3588702812826367
62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,142,2.3,803,60.0,11.0,30,1437.0,1456.0,3339.0,569.0,3801.0,13,17,1.0446870319967818
63,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2010,109,4.2,444,61.0,54.0,48,659.0,4771.0,4546.0,3840.0,350.0,13,17,0.8526200985192889
64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,129,3.4,862,62.0,9.0,2,4317.0,455.0,151.0,2479.0,616.0,13,17,0.8339802243544995
65,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,119,2.4,384,63.0,55.0,2,531.0,659.0,345.0,1088.0,1441.0,13,17,1.0073856755387072
66,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024,105,3.2,45,64.0,33.0,11,377.0,350.0,4052.0,4532.0,2519.0,13,17,0.6963623032681239
67,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,132,3.5,467,65.0,56.0,49,325.0,677.0,511.0,4714.0,17.0,13,17,0.8143375331445463
68,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,94,4.0,575,66.0,57.0,50,4385.0,1856.0,715.0,1553.0,339.0,13,17,0.7558592449198783
69,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1985,116,4.2,134,67.0,58.0,51,4578.0,174.0,216.0,3063.0,4498.0,13,17,0.6760500872228432
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1991,137,4.3,260,68.0,59.0,52,513.0,3893.0,4689.0,1359.0,4324.0,13,42,0.5695217443743114
71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006,105,3.4,1905,69.0,60.0,53,4547.0,624.0,3386.0,3786.0,3924.0,13,17,0.9968621616344966
72,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2022,103,4.1,1906,70.0,61.0,54,268.0,4068.0,3624.0,2823.0,2251.0,13,17,0.6395794686148035
73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1999,97,3.8,331,71.0,62.0,27,2681.0,24.0,4400.0,3573.0,3327.0,13,17,0.7745167024945635
74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2024,119,3.6,1091,72.0,63.0,55,3546.0,3422.0,4372.0,3483.0,4015.0,13,17,0.8994021790228939
75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,109,3.0,1907,73.0,64.0,11,325.0,3728.0,488.0,3818.0,177.0,13,17,0.8727336671590185
76,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1959,122,4.3,133,47.0,52.0,24,547.0,1315.0,236.0,4466.0,4025.0,13,17,0.6472197952980412
77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1997,194,3.8,260,68.0,65.0,13,687.0,309.0,1394.0,4607.0,4604.0,13,17,0.9444909810172228
78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2017,135,3.4,852,74.0,63.0,20,4232.0,4598.0,2802.0,4115.0,4444.0,13,17,0.8170735443301038
79,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018,130,3.8,3,75.0,66.0,56,2980.0,2685.0,2347.0,3803.0,3543.0,13,17,1.0622914507412642
80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,110,3.4,1908,76.0,67.0,20,4802.0,3477.0,4321.0,3939.0,4619.0,13,17,1.0589461842867955
81,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,153,4.3,135,77.0,68.0,57,249.0,455.0,4772.0,3737.0,4862.0,13,17,0.8243061944710905
82,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1931,87,4.3,34,78.0,69.0,58,59.0,4249.0,3896.0,3860.0,4404.0,42,17,0.947905343798084
83,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2003,97,3.5,706,79.0,70.0,20,620.0,4559.0,3395.0,3994.0,3853.0,13,17,0.8992068882763797
84,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2014,94,3.3,913,80.0,71.0,59,4418.0,3953.0,3864.0,4811.0,4396.0,13,7,0.9305386477857732
85,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2021,156,3.6,289,81.0,72.0,55,3571.0,4594.0,1093.0,4568.0,4271.0,13,17,0.8235574379026782
86,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,155,4.1,556,82.0,73.0,51,699.0,602.0,1966.0,4586.0,2691.0,13,9,0.8258599668677934
87,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014,102,3.8,1909,83.0,74.0,43,3665.0,4720.0,3497.0,4230.0,3955.0,13,17,0.7355908257312819
88,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,100,3.8,1910,84.0,75.0,13,3449.0,4142.0,4786.0,4672.0,2133.0,13,40,0.596140094486516
89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,146,3.9,121,85.0,76.0,6,487.0,4187.0,3170.0,461.0,772.0,13,17,0.772447652337034
90,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1925,95,4.1,34,86.0,69.0,58,59.0,4302.0,4390.0,3648.0,4196.0,42,17,0.8522416262267904
91,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2023,95,2.7,1911,87.0,30.0,51,4492.0,4424.0,3629.0,2864.0,3712.0,13,17,0.93129515197264
92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024,120,3.0,6,88.0,14.0,60,4734.0,340.0,4003.0,4669.0,4391.0,13,17,0.643501596861686
93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,134,3.9,1873,89.0,77.0,19,71.0,335.0,774.0,4854.0,263.0,13,17,0.773863496650083
94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2005,112,3.9,1912,90.0,78.0,61,3755.0,4281.0,3591.0,3465.0,3742.0,41,31,
95,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1985,98,3.8,1388,91.0,79.0,51,3964.0,4472.0,3880.0,4524.0,4202.0,13,17,0.9724877489133058
96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1976,122,4.3,204,92.0,80.0,14,4091.0,1214.0,4221.0,1643.0,2140.0,13,17,0.8053747058878837
97,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2013,114,3.8,885,93.0,81.0,62,171.0,239.0,1698.0,388.0,4059.0,13,9,0.8700252180477361
98,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,97,3.5,677,94.0,82.0,51,4588.0,124.0,3747.0,368.0,2149.0,13,30,0.8170473869666142
99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020,97,4.3,1158,95.0,83.0,63,404.0,2726.0,2355.0,2540.0,4414.0,13,42,0.6626576891827342
100,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1980,124,4.3,126,38.0,84.0,64,404.0,676.0,3362.0,175.0,3832.0,13,17,0.6243334360207055
101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,95,3.5,1913,96.0,85.0,65,3348.0,4307.0,3610.0,3989.0,3131.0,13,7,0.7787992819547609
102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,96,3.8,1914,69.0,7.0,14,128.0,4262.0,2359.0,3779.0,2432.0,13,17,0.953743360797239
103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,113,3.9,262,97.0,86.0,66,2928.0,488.0,4407.0,2232.0,3826.0,13,41,0.8972556440276352
104,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,131,3.8,89,2.0,87.0,13,264.0,345.0,4251.0,724.0,3210.0,13,17,0.8812760526729156
105,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1962,228,4.4,422,98.0,88.0,67,4857.0,1100.0,4542.0,936.0,3756.0,13,9,0.7313043246260958
106,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,131,4.0,963,99.0,89.0,6,765.0,317.0,403.0,60.0,14.0,13,17,0.6982640132160124
107,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,100,4.0,1183,100.0,90.0,68,3447.0,3828.0,1902.0,3398.0,4308.0,13,17,0.7661521125779026
108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020,108,3.8,1653,101.0,83.0,69,153.0,663.0,4779.0,4710.0,3743.0,13,17,0.9257442378869276
109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2024,132,2.0,699,102.0,91.0,70,3418.0,1028.0,761.0,4008.0,3493.0,5,36,1.0882551294548417
110,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,148,4.2,69,103.0,73.0,10,687.0,438.0,3496.0,370.0,2114.0,13,9,0.8654060367343022
111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2020,90,3.8,1915,104.0,92.0,71,588.0,3685.0,364.0,2889.0,4074.0,13,17,0.6107227381514
112,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,148,3.3,556,105.0,93.0,13,2539.0,605.0,4084.0,1966.0,3379.0,13,17,0.766351430926642
113,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1983,169,4.1,635,106.0,94.0,51,493.0,4264.0,758.0,4522.0,4589.0,13,17,0.7625981937340423
114,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1994,89,4.2,1916,107.0,73.0,43,3468.0,4599.0,1660.0,4801.0,499.0,13,17,1.36486476566952
115,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,189,3.8,1118,17.0,17.0,13,4863.0,325.0,71.0,3526.0,3669.0,13,17,1.0265317950400086
116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2017,130,4.1,392,108.0,95.0,25,2517.0,4351.0,3189.0,4577.0,2142.0,13,17,0.733815855483463
117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1988,124,4.3,1539,109.0,96.0,72,2699.0,2867.0,3513.0,4473.0,1852.0,9,41,0.7765410002845389
118,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1982,115,3.8,289,110.0,11.0,51,4582.0,481.0,3466.0,3187.0,4592.0,13,17,0.8885904089277167
119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,110,3.6,635,111.0,33.0,13,656.0,2499.0,3451.0,4054.0,3487.0,13,17,0.6287402869225516
120,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2024,105,2.7,77,112.0,97.0,73,3573.0,4561.0,3900.0,3826.0,3457.0,13,17,0.8301397797830603
121,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2005,86,3.5,1917,113.0,73.0,74,171.0,21.0,4340.0,1778.0,3378.0,13,17,0.7734539478830523
122,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2012,93,3.4,1918,114.0,82.0,43,3634.0,469.0,4253.0,199.0,1360.0,13,17,0.8051671570985329
123,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2022,106,3.4,500,39.0,98.0,34,3169.0,4532.0,4768.0,4412.0,4273.0,13,17,0.8860882902139263
124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2020,150,3.4,69,103.0,99.0,11,4347.0,494.0,3815.0,1604.0,3535.0,13,9,1.0085126307005337
125,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2023,144,4.1,1919,115.0,9.0,75,3460.0,3773.0,3713.0,4633.0,4367.0,5,10,0.7162968552355882
126,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,122,3.7,995,116.0,100.0,76,564.0,4488.0,1060.0,790.0,474.0,13,17,0.6395960532849498
127,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,129,3.7,30,117.0,101.0,62,4734.0,124.0,151.0,1210.0,4645.0,13,9,0.8374337202882108
128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1978,110,3.5,1920,118.0,102.0,13,4024.0,136.0,3125.0,4148.0,4735.0,13,9,0.964507959015964
129,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,93,3.2,1921,119.0,103.0,51,263.0,450.0,4242.0,100.0,248.0,13,41,0.8401074153020794
130,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2024,133,3.7,811,120.0,104.0,25,3616.0,2791.0,4216.0,4564.0,336.0,13,17,0.7791848156956968
131,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,110,3.9,1922,121.0,30.0,77,4183.0,3887.0,1.0,3981.0,3330.0,13,14,0.7387775151506962
132,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,127,3.7,43,122.0,77.0,78,4005.0,3068.0,3674.0,3710.0,3446.0,13,21,0.8094630120500338
133,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2002,179,4.4,175,123.0,20.0,20,66.0,1665.0,2980.0,2625.0,74.0,13,32,0.8281349562131051
134,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2014,100,3.8,1358,124.0,30.0,79,263.0,772.0,620.0,218.0,61.0,13,7,0.7486252270900036
135,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2011,112,3.7,1487,125.0,73.0,13,58.0,3802.0,2140.0,286.0,4745.0,13,9,0.72053281481199
136,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2009,87,4.3,575,16.0,57.0,80,595.0,557.0,324.0,1109.0,3040.0,13,17,0.7081286031985415
137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,121,3.5,60,126.0,103.0,81,3356.0,4125.0,165.0,4675.0,4647.0,13,17,0.8101234282906972
138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2006,90,4.1,1445,127.0,105.0,82,581.0,4510.0,4701.0,4209.0,282.0,9,41,0.6849438283314245
139,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2013,112,2.2,1923,128.0,103.0,2,531.0,659.0,576.0,3799.0,404.0,13,17,0.8523310878991435
